Name_English,Name_Wylie_Tibetan,Name_Tibetan,Name_Chinese,Dates,Position_Date,Img_Subtext,Description_English,Description_Tibetan,Description_Chinese,Transmission_Mode,Lineage,Received_Teachings_From,Incarnation_Of,Family_Relationship,Emanated as,Links_Names,Links_URLs,Notes
Gyalse Tulku Drakpa Ozer,rgyal sras sprul sku grags pa 'od zer,རྒྱལ་སྲས་སྤྲུལ་སྐུ་གྲགས་པ་འོད་ཟེར།,,1356-1409,1375,,14th-15th century master,,,Aural,All lineages,Khenchen Chabdal Lhundrup,,,,,,
Trulzhik Sang-gyé Önpo Sherab Gyatso,khrul zhig sangs rgyas dbon po shes rab rgya mtsho,འཁྲུལ་ཞིག་སངས་རྒྱས་དབོན་པོ་ཤེས་རབ་རྒྱ་མཚོ,,1410-1480,1410,,,,,Aural,All lineages,Gyalse Tulku Drakpa Ozer,,,,,,
Gyalse Dawa Drakpa,rgyal sras zla ba grags pa,རྒྱལ་སྲས་ཟླ་བ་གྲགས་པ།,,1440-1510,1440,,,,,Aural,All lineages,Trulzhik Sang-gyé Önpo Sherab Gyatso,,,,,,
Drupchen Kunzang Dorje,grub chen kun bzang rdo rje,གྲུབ་ཆེན་ཀུན་བཟང་རྡོ་རྗེ།,,1470-1540,1470,,,,,Aural,All lineages,Gyalse Dawa Drakpa,,,,,,
Chöjé Kunga Gyaltsen Palzang,chos rje kun dga' rgyal mtshan dpal bzang,ཆོས་རྗེ་ཀུན་དགའ་རྒྱལ་མཚན་དཔལ་བཟང།,,1497-1568,1497,,15th-16th century master,,,Aural,All lineages,Drupchen Kunzang Dorje,,,,,,
Tulku Natsok Rangdrol,sprul sku sna tshogs rang grol,སྤྲུལ་སྐུ་སྣ་ཚོགས་རང་གྲོལ།,,1494-1571,1525,,15th-16th century master,,,Aural,All lineages,Chöjé Kunga Gyaltsen Palzang,,,,,,
Khenpo Do-ngak Tendzin,mkhan po mdo ngag bstan 'dzin,མཁན་པོ་མདོ་ངག་བསྟན་འཛིན།,,1576-1628,1576,,16th-17th century master,,,Aural,All lineages,"2nd Pema Lingpa, Tendzin Chökyi Drakpa",,,,,,
Rigdzin Chenpo Trinlé Lhundrup,rig 'dzin chen po phrin las lhun grub,རིག་འཛིན་ཆེན་པོ་ཕྲིན་ལས་ལྷུན་གྲུབ།,,1611-1662,1611,,17th century master,,,Aural,All lineages,Khenpo Do-ngak Tendzin,Rigzin Gödem,,,,,
Terchen Gyurmé Dorjé,smin gling gter chen 'gyur med rdo rje,སྨིན་གླིང་གཏེར་ཆེན་འགྱུར་མེད་རྡོ་རྗེ།,,1646-1714,1646,Source: Rigpa Wiki,Terdak Lingpa - great treasure revealer,,,Aural,All lineages,Rigdzin Chenpo Trinlé Lhundrup,,,,,,
Kunzang Mingyur Paldron,rje btsun ma mi 'gyur dpal sgron,རྗེ་བཙུན་མ་མི་འགྱུར་དཔལ་སྒྲོན།,,1699-1769,1689,Source: Himalayan Art Resources,17th-18th century master,,,Aural,All lineages,Terchen Gyurmé Dorjé,,,,,,
Khenchen Oddiyyana,mkhan chen o rgyan,མཁན་ཆེན་ཨོ་རྒྱན།,,1742-1789,1742,,18th century master,,,Aural,All lineages,Kunzang Mingyur Paldron; Gyalse Rinchen Namgyal,,,,,,
Trichen Gyurme Trinle Namgyal,gyur med 'phrin las rnam rgyal,འགྱུར་མེད་འཕྲིན་ལས་རྣམ་རྒྱལ་,,1765-1812,1763,,18th-19th century master,,,Aural,All lineages,Khenchen Oddiyyana,,,,,,
Jetsunma Trinle Chodron,rje btsun 'phrin las chos sgron,རྗེ་བཙུན་ཕྲིན་ལས་ཆོས་སྒྲོན།,,1700s-1800s,1800,Source: Lotsawa House,18th-19th century female master,,,Aural,All lineages,Trichen Gyurme Trinle Namgyal; Ngak Rabjampa Orgyen Chodrak,,,,,,
Gyalse Rinchen Namgyal,rgyal sras rin chen rnam rgyal,རྒྱལ་སྲས་རིན་ཆེན་རྣམ་རྒྱལ།,,1694-1758,1700,,17th-18th century master,,,Aural,All lineages,Terchen Gyurmé Dorjé,,,,,,
Ngak Rabjampa Orgyen Chodrak,ngag rab 'byams pa o rgyan chos grags,ངག་རབ་འབྱམས་པ་ཨོ་རྒྱན་ཆོས་གྲགས།,,1676-?,1725,,17th century master,,,Aural,All lineages,Gyalse Rinchen Namgyal,,,,,,
Ngakyi Rabjampa Orgyen Palgön (Drupwang Shrinatha),ngag gi rab 'byams pa grub dbang dpal mgon,ངག་གི་རབ་འབྱམས་པ་གྲུབ་དབང་དཔལ་མགོན།,,1700s,1750,,18th century practitioner,,,Aural,All lineages,Ngak Rabjampa Orgyen Chodrak,,,,,,
Trehorpa Kyabgön Yeshe Gyaltsen,tre hor pa skyabs mgon ye shes rgyal mtshan,ཏྲེ་ཧོར་པ་སྐྱབས་མགོན་ཡེ་ཤེས་རྒྱལ་མཚན།,,1800s,1800,,18th-19th century master,,,Aural,All lineages,"1st Dodrupchen, Jigmé Trinlé Özer",,,,,,
Chönyön Dharma Seng-gé,khams smyon dharma seng ge,ཁམས་སྨྱོན་དྷརྨ་སེང་གེ།,,1800s,1830,,19th century master,,,Aural,All lineages,Trehorpa Kyabgön Yeshe Gyaltsen,,,,,,
Chogyal Ngagi Wangpo,chos rgyal ngag gi dbang po,ཆོས་རྒྱལ་ངག་གི་དབང་པོ།,,1736-1807,1736,,18th-19th century master,,,Aural,All lineages,"1st Dodrupchen, Jigmé Trinlé Özer",,,,,,
Zhabkar Tsokdruk Rangdrol,zhabs dkar tshogs drug rang grol,ཞབས་དཀར་ཚོགས་དྲུག་རང་གྲོལ།,,1781-1851,1781,,18th-19th century master,,,Aural,All lineages,Chogyal Ngagi Wangpo,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Zhabkar-Tsokdruk-Rangdrol-/4611,
Kyabgön Pema Gyatso,skyabs mgon pad+ma rgya mtsho,སྐྱབས་མགོན་པདྨ་རྒྱ་མཚོ།,,1800s,1850,,19th century master,,,Aural,All lineages,Zhabkar Tsokdruk Rangdrol,,,,,,
Dakki Chönyi Zangmo,lo chen chos nyid bzang mo,"ལོ་ཆེན་ཆོས་ཉིད་བཟང་མོ་,",,1865-1953,1875,Source: Rigpa Wiki,19th-20th century master,,,Aural,All lineages,Kyabgön Pema Gyatso; Chönyön Dharma Seng-gé,,,,,,
Zhadeu Trulzhik Chenpo Ngawang Chökyi Lodro,‘khrul zhig ngag dbang chos kyi blo gros,འཁྲུལ་ཞིག་ངག་དབང་ཆོས་ཀྱི་བློ་གྲོས།,,1924-2011,1924,,Student of Dakki Chönyi Zangmo,,,Aural,All lineages,Dakki Chönyi Zangmo,,,,,,
Lotsawa Chöpal Gyatso (Lochen Dharma Shri),"ngag dbang chos dpal rgya mtsho, lo chen d+harma shrI",ངག་དབང་ཆོས་དཔལ་རྒྱ་མཚོ། ལོ་ཆེན་དྷརྨ་ཤྲཱི།,,1654-1718,1675,Source: Rigpa Wiki,17th-18th century translator,,,Aural,All lineages,Terchen Gyurmé Dorjé,,,,BDRC,https://library.bdrc.io/show/bdr:P667?,
Riksé Choktrul Pema Gyurmé Gyatso,pad+ma 'gyur med rgya mtsho,པདྨ་འགྱུར་མེད་རྒྱ་མཚོ་,,1686-1718,1686,,"17th-18th century master. One of the four sons of Minling Terchen Gyurmé Dorjé aka Terdak Lingpa, and one of Jetsün Mingyur Paldrön's stepbrothers. One of his teachers was Zurchen Chöying Rangdrol.",,,Aural,All lineages,Terchen Gyurmé Dorjé,,,,,,
Katokpa Gyalse Rinpoche Sonam Detsen,kaH thog rgyal sras bsod nams lde'u btsan,ཀཿ་ཐོག་རྒྱལ་སྲས་བསོད་ནམས་ལྡེའུ་བཙན།,,1675-1723,1675,Source: Treasury of Lives via HAR,"17th-18th century master. He was the son of Longsal Nyingpo and the immediate reincarnation of Rigdzin Düddul Dorje. He and his father were renowned nyingma masters, and both played a critical role in re-strengthening the Katok Monastery lineage and its monastery. Katok Gyalse Sönam Deutsen had a son called Japhur Lama, who travelled to and settled in Pemakö, and whose next incarnation was Khengen Tulku, Dudjom Rinpoche's father. Drimé Shyingkyong Gönpo (dri med zhing skyong mgon po) has been recognized as a reincarnation of Katok Gyalse Sönam Deutsen.",,,Aural,All lineages,Terchen Gyurmé Dorjé,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Gyelse-Sonam-Deutsen/8539,
"2nd Dzogchen Rinpoche, Gyurmé Tekchok Tendzin",‘gyur med theg mchog bstan ‘dzin,འགྱུར་མེད་ཐེག་མཆོག་བསྟན་འཛིན།,,1699-1758,1699,,17th-18th century master,,,Aural,All lineages,Terchen Gyurmé Dorjé,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Dzogchen-Drubwang-02-Gyurme-Tekchok-Tendzin/9383་,
Barchung Lama Tashi Gyatso,bar chung bla ma bkra shis rgya mtsho,འབར་ཆུང་བླ་མ་བཀྲ་ཤིས་རྒྱ་མཚོ།,,1750s,1750,,18th century master,,,Aural,All lineages,"2nd Dzogchen Rinpoche, Gyurmé Tekchok Tendzin",,,,,,
Khedrup Delek Gyatso,mkhas grub bde legs rgya mtsho,མཁས་གྲུབ་བདེ་ལེགས་རྒྱ་མཚོ།,,1300-1400,1375,,14th century student of Longchen Rabjampa,,,Aural,All lineages,Longchen Rabjampa; Takok Jadral Chöjé Tashi Jungne,,,,,,
Takok Jadral Chöjé Tashi Jungné,bya bral chos rje bkra shis byung gnas,བྱ་བྲལ་ཆོས་རྗེ་བཀྲ་ཤིས་བྱུང་གནས།,,1350-1450 (approx.),1350,,"14th-15th century master,་ student of Longchen Rabjampa",,,Aural,All lineages,Khedrup Delek Gyatso,,,,,,
Guru Zhenpen,gu ru gzhan phan,གུ་རུ་གཞན་ཕན།,,1350-1450 (approx.),1400,,14th-15th century master,,,Aural,All lineages,Takok Jadral Chöjé Tashi Jungné; Namkha Dorje,,,,,,
Namkha Dorjé,nam mkha' rdo rje,ནམ་མཁའ་རྡོ་རྗེ།,,1400s,1425,,15th century master,,,Aural,All lineages,Guru Zhenpen; Ösel Longyang,,,,,,
Ösel Longyang,od gsal klong dbyangs,འོད་གསལ་ཀློང་དབྱངས།,,1450-1550 (approx.),1450,,15th-16th century master,,,Aural,All lineages,Namkha Dorjé,,,,,,
Dzogchenpa Sönam Rigdzin,rdzogs chen pa bsod nams rig 'dzin,རྫོགས་ཆེན་པ་བསོད་ནམས་རིག་འཛིན,,1450-1550 (approx.),1480,,15th-16th century master,,,Aural,All lineages,Ösel Longyang,,,,,,
Kunchen Ngawang Pema,kun chen ngag dbang pad+ma,ཀུན་ཆེན་ངག་དབང་པདྨ།,,1500s,1520,,16th century master,,,Aural,All lineages,Dzogchenpa Sönam Rigdzin,,,,,,
Dzogchenpa Sönam Wangpo,rdzogs chen pa bsod nams dbang po,རྫོགས་ཆེན་པ་བསོད་ནམས་དབང་པོ།,,1550?-1625,1550,,16th-17th century master,,,Aural,All lineages,Kunchen Ngawang Pema,,,,,,
Lhatsün Namkha Jigmé,lha btsun nam mkha' 'jigs med,ལྷ་བཙུན་ནམ་མཁའ་འཇིགས་མེད།,,1597-1652,1597,Source: Rigpa Wiki,17th century master,,,Aural,All lineages,Dzogchenpa Sönam Wangpo,,,,BDRC,https://library.bdrc.io/show/bdr:P1691?,
Dzogchenpa Longdzok Tadral,rdzogs chen pa klong rdzogs mtha' bral,རྫོགས་ཆེན་པ་བསོད་ནམས་དབང་པོ།,,1600s,1620,,17th century master,,,Aural,All lineages,Lhatsün Namkha Jigmé,,,,,,
Rigdzin Jigmé Lingpa,jigs med gling pa,འཇིགས་མེད་གླིང་པ།,,1730-1798,1730,Source: Rigpa Wiki,Great treasure revealer,,,Aural,All lineages,Longchen Rabjampa; Ngakyi Rabjampa Orgyen Palgön (Drupwang Shrinatha),,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Jigme-Lingpa/5457,
"1st Dodrupchen, Jigmé Trinlé Özer",‘jigs med phrin las ‘od zer,རྡོ་གྲུབ་ཆེན ༠༡ འཇིགས་མེད་ཕྲིན་ལས་འོད་ཟེར།,,1745-1821,1745,Source: Rigpa Wiki,First Dodrupchen,,,Aural,All lineages,Rigdzin Jigmé Lingpa,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Dodrubchen-01-Jigme-Trinle-Ozer/4676,
"2nd Dodrupchen, Jigmé Phuntsok Jungné",jigs med phun tshigs 'byung gnas,རྡོ་གྲུབ་ཆེན ༠༢ འཇིགས་མེད་ཕུན་ཚོགས་འབྱུང་གནས།,,1824-1863,1824,,Second Dodrupchen,,,Aural,All lineages,"1st Dodrupchen, Jigmé Trinlé Özer","1st Dodrupchen, Jigmé Trinlé Özer",,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Dodrubchen-02-Jigme-Puntsog-Jungne/4272,
"3rd Dodrupchen, Jigmé Tenpai Nyima",jigs med bstan pa'i nyi ma,རྡོ་གྲུབ་ཆེན ༠༣ འཇིགས་མེད་བསྟན་པའི་ཉི་མ།,,1865-1926,1865,,Third Dodrupchen,,,Aural,All lineages,"2nd Dodrupchen, Jigmé Phuntsok Jungné","2nd Dodrupchen, Jigmé Phuntsok Jungné",,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Dodrubchen-03-Jigme-Tenpai-Nyima/4185,
"4th Dodrupchen, Jigmé Trinlé Palbar",jigs med phrin las dpal 'bar,རྡོ་གྲུབ་ཆེན ༠༤ འཇིགས་མེད་ཕྲིན་ལས་དཔལ་འབར།,,1927-2022,1927,Source: Rigpa Wiki,Fourth Dodrupchen,,,Aural,All lineages,"3rd Dodrupchen, Jigmé Tenpai Nyima","3rd Dodrupchen, Jigmé Tenpai Nyima",,,BDRC,https://library.bdrc.io/show/bdr:P2562?,
Du Khyentsé Yeshé Dorjé,mdo mkhyen brtse ye shes rdo rje,མདོ་མཁྱེན་བརྩེ་ཡེ་ཤེས་རྡོ་རྗེ།,,1800-1866,1800,,Great master,,,Aural,All lineages,"1st Dodrupchen, Jigmé Trinlé Özer",,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Do-Khyentse-Yeshe-Dorje/9612་,
"4th Dzogchen Rinpoche, Mingyur Namkhai Dorjé",mi 'gyur nam mkha'i rdo rje,མི་འགྱུར་ནམ་མཁའི་རྡོ་རྗེ།,,1793-1850,1793,,"An extraordinary master who was the teacher of some of the greatest lamas of the last century, such as Jamyang Khyentse Wangpo, Do Khyentse, Patrul Rinpoche and Mipham Rinpoche. He reached the state of realization of Dzogpachenpo called chö nyi zé sa, ‘the wearing out of phenomenal reality’ (the fourth vision of tögal practice), and had completely transcended all worldly concerns and conventional norms. (From Rigpa)",,,Aural,All lineages,"Du Khyentsé Yeshé Dorjé; 1st Dodrupchen, Jigmé Trinlé Özer",,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Dzogchen-Drubwang-04-Mingyur-Namkai-Dorje/3020,
Gemang Gyalse Rigpai Dorjé (Gyalse Zhenpen Tayé Özer),rgyal sras gzhan phan mtha' yas,རྒྱལ་སྲས་གཞན་ཕན་མཐའ་ཡས།,,1800-1869/70,1800,Source: Rigpa Wiki,"Gyalsé Shenpen Tayé was an incarnation of Minling Terchen Gyurmé Dorjé (1646-1714). He followed many great Sarma and Nyingma masters of the Rimé movement, especially the first Dodrupchen Rinpoche Changchup Dorjé (aka Jikmé Trinlé Özer) (1745-1821), Jikmé Gyalwé Nyugu (1765-1843), the Fourth Dzogchen Rinpoche Mingyur Namkhé Dorjé (1793–1870), Sengtruk Pema Tashi, Minling Trichen[3] and Minling Khen Rinpoche. His collected works include a commentary on the Guhyagarbha Tantra entitled The Heart Essence of Samantabhadra (ཀུན་བཟང་ཐུགས་ཀྱི་ཏི་ཀ་, kun bzang thugs kyi ti ka). His personal students included Jikmé Gyalwé Nyugu and all three incarnations of Jikmé Lingpa—Patrul Rinpoche, Do Khyentse Yeshe Dorje and Jamyang Khyentse Wangpo—as well as Shechen Öntrul Thutob Namgyal, Minling Trichen Sangye Kunga and the great Dzogchen Khenpo Pema Dorje. (Rigpa Wiki)",,,Aural,All lineages,"Barchung Lama Tashi Gyatso; 1st Dodrupchen, Jigmé Trinlé Özer",Terchen Gyurmé Dorjé,TRUE,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Gyelse-Zhenpen-Taye-Ozer/9601,
Chöying Tobden Dorjé,chos dbyings stobs ldan rdo rje,ཆོས་དབྱིངས་སྟོབས་ལྡན་རྡོ་རྗེ།,,1785-1848,1785,,Student of 1st Dodrupchen,,,Aural,All lineages,"1st Dodrupchen, Jigmé Trinlé Özer",,,,,,
Choklung Repa Damtsik Dorje,khyung lung ras pa dam tshig rdo rje,ཁྱུང་ལུང་རས་པ་དམ་ཚིག་རྡོ་རྗེ།,,1700s-1800s,1780,,Student of 1st Dodrupchen,,,Aural,All lineages,"1st Dodrupchen, Jigmé Trinlé Özer",,,,,,
1st Katok Situ,kaḥ thog si tu chos kyi seng+ge,ཀཿ་ཐོག་སི་ཏུ་ཆོས་ཀྱི་སེངྒེ།,,1775?-1819?,1800,,"First Kathok Situ Rinpoche, received Longchen Nyingtik teachings from Jigmé Lingpa and Jigmé Trinlé Özer",,,Aural,All lineages,Rigdzin Jigmé Lingpa,,,,,,
Jamgön Kongtrul Yönten Gyatso Lodrö Tayé,‘jam mgon kong sprul blo gros mtha’ yas,འཇམ་མགོན་ཀོང་སྤྲུལ་བློ་གྲོས་མཐའ་ཡ།,,1813-1899,1813,Source: Rigpa Wiki,"Great Rime master, student of Jamyang Khyentse Wangpo",,,Aural,All lineages,Jamyang Khyentsé Wangpo,,,,,,
Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo,smyo shul lung rtogs bstan pa'i nyi ma rgyal mtshan dpal bzang po,སྨྱོ་ཤུལ་ལུང་རྟོགས་བསྟན་པའི་ཉི་མ་རྒྱལ་མཚན་དཔལ་བཟང་པོ།,,1829-1901,1829,,Student of Paltrul Orgyen Jigmé Chokyi Wangpo.,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo; Khen Rinpoché Dorjé Dzupa Tohden; Khenchen Ngawang Palzangpo; Lama Ngakchen; Terchen Lerab Lingpa,,,,BDRC,https://library.bdrc.io/show/bdr:P5999?,
Tendzin Drakpa,bstan 'dzin grags pa,བསྟན་འཛིན་གྲགས་པ།,,1800-1900 (approx),1800,,19th century student of Paltrul,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,,,,,,
"2nd Katok Situ, Chökyi Lodrö",chos kyi blo gros,ཆོས་ཀྱི་བློ་གྲོས།,,1820-1879,1820,,Student of Paltrul Orgyen Jigmé Chokyi Wangpo and Zhechen Öntrul Gyurme Tutop Namgyal. Teacher to Adzom Drukpa Drodul Pawo Dorje and The Fourth Shechen Gyaltsap Gyurme Pema Namgyal.,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,1st Katok Situ,,,BDRC,https://library.bdrc.io/show/bdr:P5994?,
Minyak Kunzang Sönam,mi nyag kun bzang bsod nams,མི་ཉག་ཀུན་བཟང་བསོད་ནམས།,,1823-1905,1850,,19th-20th century student of Paltrul,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,,,,,,
Dzogchen Khenchen Pema Dorje,mkhan chen pad+ma ba+z+ra,མཁན་ཆེན་པདྨ་བཛྲ།,,1867-1935,1867,,Student of Paltrul Orgyen Jigmé Chokyi Wangpo,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,,,,,,
Golok Lang Lama Tupten Chokyi Jorpa,bla ma thub bstan chos kyi 'byor pa,བླ་མ་ཐུབ་བསྟན་ཆོས་ཀྱི་འབྱོར་པ།,,1850-1950 (approx),1850,,19th-20th century student of Paltrul,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,,,,,,
Khenchen Yönten Gyatso,mkhan chen yon tan rgya mtsho,མཁན་ཆེན་ཡོན་ཏན་རྒྱ་མཚོ།,,1850-1950s (approx),1850,,"19th-20th century student of Paltrul Rinpoche and Orgyen Tendzin Norbu. He belonged to Gemang Monastery, a branch of Dzogchen Monastery, and studied at Dzogchen and Shechen monasteries. He wrote a very popular two-part commentary on Rigdzin Jigmé Lingpa's Treasury of Precious Qualities, called Lamp of Moonlight and Rays of Sunlight, or simply Great Commentary (Wyl. zla ba’i ’sgron me). He also wrote an important commentary to Ngari Panchen's Ascertainment of the Three Types of Vows, the Awareness Holders’ Entrance. Among his students were Changma Khenchen Thubten Chöpel (the teacher of Dilgo Khyentse Rinpoche and Khenpo Jikmé Phuntsok) and Khenchen Tsewang Rigdzin of Washul Mewa (who attained the rainbow body). (Rigpa Wiki).",,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,,,,,,
Khenchen Kunzang Palden Chodrak,mkhan po kun bzang dpal ldan,མཁན་པོ་ཀུན་བཟང་དཔལ་ལྡན།,,1862-1943,1872,,Student of Paltrul Orgyen Jigmé Chokyi Wangpo.,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Kunzang-Pelden/9593,
Orgyen Tendzin Norbu,o rgyan bstan 'dzin nor bu,ཨོ་རྒྱན་བསྟན་འཛིན་ནོར་བུ།,,1827-1888,1827,,Student of Paltrul Orgyen Jigmé Chokyi Wangpo and the nephew of Gyalsé Shenpen Tayé. His disciples included Khenpo Shenga and Khenpo Yönga.,,,Aural,All lineages,Paltrul Orgyen Jigmé Chokyi Wangpo,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Orgyen-Tendzin-Norbu/7551,
Khen Rinpoché Dorjé Dzinpa Tobden (Tubten Gyaltsen Özer),mkhan chen thub bstan rgyal mtshan 'od zer,མཁན་ཆེན་ཐུབ་བསྟན་རྒྱལ་མཚན་འོད་ཟེར།,,1862-?,1862,,19th-20th century student of Nyoshul Lungtok,,,Aural,All lineages,Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Tubten-Gyeltsen-Ozer/8624,
Naktar Tulku Sonam Chokdrup,sprul sku bsod nams mchog grub,སྤྲུལ་སྐུ་བསོད་ནམས་མཆོག་གྲུབ།,,1850-1950 (approx),1850,,19th-20th century student of Nyoshul Lungtok,,,Aural,All lineages,Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo,,,,,,
Lhazang Lama Rigdzin,lha bzang bla ma rig 'dzin,ལྷ་བཟང་བླ་མ་རིག་འཛིན།,,1850-1950 (approx),1850,,19th-20th century student of Nyoshul Lungtok,,,Aural,All lineages,Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo,,,,,,
Khenchen Ngawang Palzangpo (Khenpo Ngaga),mkhan po ngag dbang dpal bzang,མཁན་པོ་ངག་དབང་དཔལ་བཟང།,,1879-1941,1879,Source: Rigpa Wiki,Student of Nyoshul Lungtok,,,Aural,All lineages,Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo; Khenchen Ngawang Palzangpo; 2nd Palyul Drupwang Pema Norbu; Zhenga Dorjé Chang Zhenpen Chökyi Nangwa,,,,,,
Sa-ngen Lama Wangchen,sa ngan bla ma dbang chen,ས་ངན་བླ་མ་དབང་ཆེན།,,1850-1950 (approx),1850,,19th-20th century student of Nyoshul Lungtok,,,Aural,All lineages,Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo,,,,,,
Lama Ngakchen (Orgyen Tutop Lingpa),bla ma sngags chen o rgyan mthu stobs gling pa,བླ་མ་སྔགས་ཆེན་ཨོ་རྒྱན་མཐུ་སྟོབས་གླིང་པ།,,1858-1914,1858,,Student of Nyoshul Lungtok,,,Aural,All lineages,Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo,,,,,,
Terchen Lerab Lingpa (Tertön Sogyal),gter ston bsod rgyal las rab gling pa,གཏེར་སྟོན་བསོད་རྒྱལ་ལས་རབ་གླིང་པ།,,1856-1926,1856,Source: Rigpa Wiki,"Student of Nyoshul Lungtok. He was a prolific tertön and a teacher of the Thirteenth Dalai Lama. Some of his more important revelations were: Daki Mengak Gabtik, Tendrel Nyesel, Yang Nying Pudri, Yang Sang Tröpa, and Yang Zab Nyingpo.",,,Aural,All lineages,Nyoshul Lungtok Tenpai Nyima Gyaltsen Palzangpo,,,,Treasury of Lives,https://treasuryoflives.org/biographies/view/Lerab%20Lingpa/8538,
Khen Ngawang Palzang Yangsi Rinpoché (Tekchok Tenpai Gyaltsen),ngag dbang dpal bzang yang srid,ངག་དབང་དཔལ་བཟང་ཡང་སྲིད།,,1944-,1944,,"Contemporary master, one of the reincarnations of Khenpo Ngakchung.",,,Aural,All lineages,Lungtrul Shedrup Tenpai Nyima,Khenchen Ngawang Palzangpo (Khenpo Ngaga),,,,,
Changma Khenchen Tupten Chöpel,lcang ma mkhan chen thub bstan chos 'phel,ལྕང་མ་མཁན་ཆེན་ཐུབ་བསྟན་ཆོས་འཕེལ།,,1886-1956,1886,Source: Rigpa Wiki,"Student of Khenchen Yönten Gyatso. He was renowned for his great scholarship, especially in relation to the Guhyagarbha Tantra, his contribution to the flourishing of the monastic tradition, and his realization of the Dzogchen teachings. Some of his most important students were: Dilgo Khyentse Rinpoche, Khenpo Jikmé Phuntsok, Gonpo Tseten Rinpoche, Chagdud Tulku Rinpoche and the Sixth Dzogchen Rinpoche, Jikdral Changchub Dorje. (Rigpa Wiki).",,,Aural,All lineages,Khenchen Yönten Gyatso,,,,BDRC,https://library.bdrc.io/show/bdr:P6957?,
